16936.4	80.25
16935.9	79.75
16935.5	79.5
16935	81.25
16934.5	81.5
16934	80.25
16933.5	78.5
16933	77.75
16932.6	78.75
16932.1	79.25
16931.6	78.25
16931.1	80.5
16930.6	77.25
16930.2	80.5
16929.7	79.5
16929.2	80.75
16928.7	80
16928.2	79.75
16927.8	83.75
16927.3	91.5
16926.8	110.75
16926.3	171.75
16925.8	273.25
16925.3	311.5
16924.9	319.25
16924.4	314
16923.9	313
16923.4	314
16922.9	319.5
16922.5	304
16922	279.25
16921.5	174.5
16921	110
16920.5	89
16920.1	85
16919.6	79.75
16919.1	79
16918.6	80.75
16918.1	80.25
16917.7	79.25
16917.2	79
16916.7	79
16916.2	80.5
16915.7	82.75
16915.3	90.25
16914.8	125
16914.3	184.75
16913.8	206.25
16913.3	201.75
16912.9	198.75
16912.4	203.25
16911.9	197
16911.4	200
16910.9	202
16910.5	182
16910	123.5
16909.5	88
16909	80.75
16908.5	79.75
16908.1	79.25
16907.6	76.5
16907.1	76
16906.6	76.5
16906.2	78
16905.7	77.25
16905.2	76.5
16904.7	75.5
16904.2	77.75
16903.8	74.5
16903.3	78.25
16902.8	77.75
16902.3	79.5
16901.8	77.25
16901.4	78.25
16900.9	78.75
16900.4	77
16899.9	77
16899.5	78.25
16899	75.75
16898.5	78
16898	75.75
16897.5	76.75
16897.1	76.75
16896.6	78.25
16896.1	78
16895.6	78.5
16895.1	78.5
16894.7	79.25
16894.2	86.5
16893.7	107.75
16893.2	122.5
16892.8	131.25
16892.3	127.5
16891.8	123.25
16891.3	133.5
16890.8	129.5
16890.4	128.75
16889.9	125.5
16889.4	116.5
16888.9	88
16888.5	79.5
16888	77.25
16887.5	77.75
16887	78.25
16886.6	76.5
16886.1	76.25
16885.6	76.75
16885.1	77.75
16884.6	77
16884.2	76.75
16883.7	78.75
16883.2	76.75
16882.7	76.5
16882.3	77.75
16881.8	76.25
16881.3	77.25
16880.8	78.75
16880.4	76
16879.9	79
16879.4	80
16878.9	85.25
16878.4	99.25
16878	111
16877.5	117.75
16877	120
16876.5	118
16876.1	116.75
16875.6	117.25
16875.1	115.25
16874.6	113
16874.2	107.25
16873.7	89
16873.2	79.25
16872.7	76.5
16872.3	78.25
16871.8	78.5
16871.3	77.25
16870.8	77.5
16870.4	77.75
16869.9	77.5
16869.4	77
16868.9	76.25
16868.5	76
16868	77.5
16867.5	74.25
16867	78.5
16866.6	77.75
16866.1	76.5
16865.6	76.5
16865.1	76.75
16864.7	76
16864.2	76.75
16863.7	76.5
16863.2	78
16862.8	77.25
16862.3	77.75
16861.8	79.75
16861.3	79.75
16860.9	79.25
16860.4	76.75
16859.9	79
16859.4	76.75
16859	76.75
16858.5	76.75
16858	76.25
16857.5	79.75
16857.1	79
16856.6	76
16856.1	77.5
16855.6	77.75
16855.2	78.25
16854.7	80.75
16854.2	77
16853.7	79.5
16853.3	77.25
16852.8	80.5
16852.3	77
16851.8	79.25
16851.4	77
16850.9	78.5
16850.4	77.25
16849.9	79.25
16849.5	79
16849	76.5
16848.5	77
16848	78.5
16847.6	78.25
16847.1	79.75
16846.6	79
16846.2	77.5
16845.7	80
16845.2	79.5
16844.7	80
16844.3	76.75
16843.8	78.75
16843.3	79.75
16842.8	81
16842.4	82.5
16841.9	78.75
16841.4	79
16841	80
16840.5	80.75
16840	79.25
16839.5	78.75
16839.1	79.75
16838.6	78.75
16838.1	79.5
16837.6	79.75
16837.2	78
16836.7	81.25
16836.2	80.25
16835.8	80.75
16835.3	78.75
16834.8	80
16834.3	80
16833.9	83.5
16833.4	89.25
16832.9	89.25
16832.4	86.5
16832	89
16831.5	91.5
16831	88.5
16830.6	88
16830.1	88.25
16829.6	86.25
16829.1	86.75
16828.7	82.25
16828.2	80
16827.7	82.25
16827.3	80.25
16826.8	78.5
16826.3	80.5
16825.8	82.75
16825.4	81.25
16824.9	82.75
16824.4	82
16824	85.25
16823.5	84.25
16823	84.5
16822.5	83
16822.1	81.75
16821.6	81
16821.1	80.5
16820.7	86.75
16820.2	84.5
16819.7	88.25
16819.2	92.25
16818.8	88.75
16818.3	90.25
16817.8	94.25
16817.4	89.75
16816.9	94
16816.4	95.5
16815.9	94.5
16815.5	98
16815	95.5
16814.5	93.75
16814.1	102
16813.6	99.5
16813.1	107.75
16812.7	107
16812.2	106.5
16811.7	117.75
16811.2	110.5
16810.8	111
16810.3	120.5
16809.8	115.25
16809.4	118.5
16808.9	123.75
16808.4	119
16808	126.25
16807.5	129.75
16807	142.5
16806.5	195.5
16806.1	311
16805.6	496
16805.1	776.25
16804.7	2224.25
16804.2	8969
16803.7	22690
16803.3	31614.5
16802.8	31741
16802.3	31507.5
16801.8	31411
16801.4	31472.5
16800.9	31309.3
16800.4	31397.8
16800	29804.5
16799.5	20112
16799	6529.75
16798.6	1012.75
16798.1	258
16797.6	161.75
16797.2	132
16796.7	122.5
16796.2	112.25
16795.8	107.5
16795.3	100.5
16794.8	96.5
16794.3	98.25
16793.9	90.25
16793.4	95.5
16792.9	90.5
16792.5	90.25
16792	89.75
16791.5	88
16791.1	86.75
16790.6	89
16790.1	87.25
16789.7	86.5
16789.2	88.5
16788.7	83.75
16788.3	87.5
16787.8	84.25
16787.3	84.5
16786.9	84.5
16786.4	85.5
16785.9	84
16785.4	83.25
16785	83.25
16784.5	80.5
16784	81.5
16783.6	80.25
16783.1	80.75
16782.6	79.5
16782.2	81
16781.7	83.25
16781.2	80.75
16780.8	81
16780.3	81.25
16779.8	81
16779.4	82
16778.9	79.5
16778.4	78.25
16778	81.75
16777.5	80.5
16777	78.75
16776.6	79
16776.1	83
16775.6	81
16775.2	80.75
16774.7	79.5
16774.2	80
16773.8	77
16773.3	77.75
16772.8	78
16772.4	79.75
16771.9	79
16771.4	77.25
16771	77.75
16770.5	79.5
16770	80
16769.6	79.75
16769.1	78.25
16768.6	77.75
16768.2	77.75
16767.7	80
16767.2	77.25
16766.8	80.5
16766.3	80
16765.8	78.25
16765.4	79
16764.9	79.5
16764.4	79.25
16764	77.75
16763.5	79.5
16763	80
16762.6	80
16762.1	80.5
16761.6	79.5
16761.2	77.75
16760.7	77
16760.3	77.5
16759.8	78.25
16759.3	79.75
16758.9	80.5
16758.4	79.5
16757.9	80.25
16757.5	78
16757	82
16756.5	82.5
16756.1	90.5
16755.6	97.5
16755.1	101.5
16754.7	99
16754.2	103
16753.7	100
16753.3	100
16752.8	102
16752.3	100.25
16751.9	97.5
16751.4	91.25
16750.9	84.75
16750.5	80
16750	78
16749.6	78.5
16749.1	80
16748.6	78
16748.2	84
16747.7	82.25
16747.2	80
16746.8	81.25
16746.3	81.5
16745.8	88
16745.4	105.5
16744.9	136.75
16744.4	180.75
16744	190.25
16743.5	187
16743.1	189.75
16742.6	193
16742.1	185.25
16741.7	181.75
16741.2	190.75
16740.7	160.5
16740.3	130.5
16739.8	94.5
16739.3	86.25
16738.9	84
16738.4	83.75
16738	83.25
16737.5	82.5
16737	80.5
16736.6	79.25
16736.1	82
16735.6	79.75
16735.2	80.5
16734.7	78.75
16734.3	79.5
16733.8	81.5
16733.3	78.75
16732.9	80.5
16732.4	79.5
16731.9	79
16731.5	81.5
16731	81.5
16730.5	82.5
16730.1	81
16729.6	83
16729.2	82
16728.7	79.5
16728.2	81.25
16727.8	83.5
16727.3	81
16726.8	82.75
16726.4	81.5
16725.9	83.75
16725.5	83.5
16725	85
16724.5	83.5
16724.1	86.5
16723.6	87.5
16723.2	91.25
16722.7	90
16722.2	90
16721.8	94.25
16721.3	94
16720.8	98.25
16720.4	96.25
16719.9	106
16719.5	152.5
16719	228.5
16718.5	328
16718.1	419
16717.6	517.5
16717.1	991
16716.7	2699.5
16716.2	5449.25
16715.8	7244
16715.3	7468.25
16714.8	7334
16714.4	7238.25
16713.9	7141.5
16713.5	7008
16713	6990.5
16712.5	6555.5
16712.1	4826.75
16711.6	2183.5
16711.2	475.5
16710.7	142.75
16710.2	102.75
16709.8	97.5
16709.3	91
16708.8	87.5
16708.4	84
16707.9	84.5
16707.5	86.5
16707	83
16706.5	84.25
16706.1	84
16705.6	81
16705.2	82.75
16704.7	83
16704.2	82.25
16703.8	82.5
16703.3	79
16702.9	82
16702.4	80.5
16701.9	80.75
16701.5	80.25
16701	81.25
16700.6	81.75
16700.1	82.25
16699.6	80.75
16699.2	81
16698.7	82.25
16698.3	81.25
16697.8	81.25
16697.3	82.75
16696.9	82.5
16696.4	80.5
16696	84
16695.5	82.5
16695	81
16694.6	81
16694.1	80.75
16693.7	84.75
16693.2	81.75
16692.8	78.25
16692.3	81.5
16691.8	80.5
16691.4	80.5
16690.9	79
16690.5	80.5
16690	80
16689.5	80.25
16689.1	77.75
16688.6	81.75
16688.2	80
16687.7	80
16687.2	83
16686.8	79.25
16686.3	78.5
16685.9	79.25
16685.4	81
16684.9	82
16684.5	83
16684	80.75
16683.6	80.75
16683.1	82.75
16682.7	80
16682.2	90.75
16681.7	108.75
16681.3	138.25
16680.8	161
16680.4	166.25
16679.9	172.75
16679.5	172
16679	170.5
16678.5	172
16678.1	166
16677.6	160.5
16677.2	145
16676.7	116.25
16676.2	87
16675.8	84
16675.3	80.25
16674.9	79.75
16674.4	80.25
16674	82.75
16673.5	83.25
16673	81
16672.6	80.25
16672.1	82.75
16671.7	84
16671.2	92.5
16670.8	109
16670.3	121
16669.8	123.75
16669.4	120.75
16668.9	126.5
16668.5	119.5
16668	123.75
16667.6	124
16667.1	121.5
16666.6	112.5
16666.2	101.5
16665.7	86.25
16665.3	81
16664.8	82
16664.4	81.5
16663.9	83.5
16663.4	80.5
16663	81
16662.5	82
16662.1	80
16661.6	81.5
16661.2	78.75
16660.7	80
16660.3	80.75
16659.8	81.25
16659.3	80
16658.9	80.75
16658.4	81.5
16658	81.25
16657.5	82.75
16657.1	79.75
16656.6	81.25
16656.2	81.5
16655.7	82.75
16655.2	79
16654.8	81
16654.3	82.25
16653.9	79.5
16653.4	82
16653	79
16652.5	80
16652.1	82.5
16651.6	81.5
16651.1	83.75
16650.7	80.5
16650.2	80.75
16649.8	81.25
16649.3	82.25
16648.9	80.5
16648.4	80.75
16648	82.5
16647.5	79.5
16647	80.75
16646.6	80.75
16646.1	82.25
16645.7	79.5
16645.2	86.5
16644.8	93.75
16644.3	98.5
16643.9	101.25
16643.4	100.5
16643	99
16642.5	98.5
16642	100
16641.6	101
16641.1	96.75
16640.7	96.5
16640.2	88.5
16639.8	84
16639.3	81.5
16638.9	82
16638.4	80.25
16638	82.25
16637.5	83.75
16637	81.25
16636.6	80.5
16636.1	80.5
16635.7	82.5
16635.2	80
16634.8	83.25
16634.3	84.25
16633.9	83
16633.4	80.25
16633	80.5
16632.5	83.25
16632.1	80.5
16631.6	82.5
16631.1	80
16630.7	84
16630.2	80.5
16629.8	81.5
16629.3	82.25
16628.9	82.25
16628.4	82
16628	82.75
16627.5	79.5
16627.1	83.5
16626.6	83
16626.2	84
16625.7	82
16625.3	78.25
16624.8	80
16624.4	80.75
16623.9	81.25
16623.4	82.5
16623	81
16622.5	82.5
16622.1	82
16621.6	82.5
16621.2	84.5
16620.7	82
16620.3	82.25
16619.8	83
16619.4	85
16618.9	82
16618.5	82.5
16618	83.75
16617.6	82.5
16617.1	84
16616.7	83.5
16616.2	85.25
16615.8	83.5
16615.3	80.5
16614.9	82.5
16614.4	80.75
16613.9	81.75
16613.5	84.75
16613	83
16612.6	82
16612.1	83
16611.7	82
16611.2	81.5
16610.8	84
16610.3	80.75
16609.9	84.75
16609.4	82.5
16609	82.75
16608.5	83.25
16608.1	84
16607.6	82.75
16607.2	82.75
